Basic Pay,Gross Pay and Allowances,Qualification Pay,Total Deductions
,,,
,,,
"53,920.00",,,
,"78,728.00",,
,,,"5,531.00"
,,,
,,,
"57,330.00",,,
,"120,492.00",,
,,,"10,434.00"
,,,
,,,
"50,800.00",,,
,"107,364.00",,
,,,"21,305.00"
,,,
,,,
"34,490.00","77,541.00",,
,,,"6,412.00"
,,,
,,,
"37,730.00","84,677.00",,
,,,"3,976.00"
,,,
,,,
"42,700.00","93,287.00",,
,,,"4,625.00"
,,,
,,,
"59,070.00","123,832.00",,
,,,"29,606.00"
,,,
,,,
"40,880.00","86,097.00",,
,,,"11,315.00"
,,,
,,,
"34,490.00","75,137.00",,
,,,"3,303.00"
,,,
,,,
"59,070.00",,,
,"76,865.00",,
,,,"15,138.00"
,,,
,,,
"40,880.00","89,412.00",,
,,,"4,431.00"
,,,
,,,
"53,920.00","115,909.00",,
,,,"9,417.00"
,,,
,,,
"66,490.00","140,137.00",,
,,,"42,719.00"
,,,
,,,
"64,290.00","82,757.00",,
,,,"15,615.00"
,,,
,,,
"43,610.00","95,860.00",,
,,,"14,053.00"
,,,
,,,
"37,730.00","84,752.00",,
,,,"3,980.00"
,,,
,,,
"39,970.00","87,956.00",,
,,,"6,025.00"
,,,
,,,
"57,330.00","123,813.00",,
,,,"10,932.00"
,,,
,,,
"37,730.00","72,433.00",,
,,,"11,650.00"
,,,
,,,
"31,660.00","82,497.00",,
,,,"5,904.00"
,,,
,,,
"41,790.00","72,141.00",,
,,,"13,286.00"
,,,
,,,
"43,610.00","95,350.00",,
,,,"4,847.00"
,,,
,,,
"30,500.00","66,695.00",,
,,,"14,985.00"
,,,
,,,
"34,490.00","79,017.00",,
,,,"12,655.00"
,,,
,,,
"62,550.00","131,941.00",,
,,,"18,752.00"
,,,
,,,
"49,240.00","103,648.00",,
,,,"19,412.00"
,,,
,,,
"37,730.00","79,812.00",,
,,,"5,685.00"
,,,
,,,
"37,730.00","83,697.00",,
,,,"8,630.00"
,,,
,,,
"37,730.00","84,417.00",,
,,,"7,221.00"
,,,
,,,
"37,730.00","82,497.00",,
,,,"11,108.00"
,,,
,,,
"36,980.00","83,697.00",,
,,,"5,975.00"
,,,
,,,
"55,590.00",,,
,"116,773.00",,
,,,"10,375.00"
,,,
,,,
"37,730.00","82,497.00",,
,,,"3,980.00"
,,,
,,,
"37,730.00","82,162.00",,
,,,"13,791.00"
,,,
,,,
"36,980.00","81,347.00",,
,,,"10,440.00"
,,,
,,,
"35,480.00","78,277.00",,
,,,"10,404.00"
,,,
,,,
"36,980.00","81,347.00",,
,,,"10,590.00"
,,,
,,,
"57,330.00","120,112.00",,
,,,"17,748.00"
,,,
,,,
"31,080.00","69,591.00",,
,,,"2,898.00"
,,,
,,,
"35,480.00","78,277.00",,
,,,"7,308.00"
,,,
,,,
"40,880.00","87,468.00",,
,,,"4,334.00"
,,,
,,,
"43,610.00","97,322.00",,
,,,"12,699.00"
,,,
,,,
"62,550.00","131,271.00",,
,,,"18,963.00"
,,,
,,,
"62,550.00","78,728.00",,
,,,"11,131.00"
,,,
,,,
"32,510.00","72,543.00",,
,,,"9,132.00"
,,,
,,,
